round,experiment,strategy,model,feature_set,sampling,threshold,AUC,AP,selection_source,precision_default_1,recall_default_1,f1_class_0,f1_binary_default_1,f1_macro,f1_weighted,accuracy,micro_f1,TN,FP,FN,TP,passes_auc,passes_recall,passes_macro_f1,passes_all_A1_gates,rank_if_valid
R2,XGBoost_A3,development_winner,XGBoostClassifier,ROUND1+BILL+PAYMENT,none,0.461883,0.7816975032079083,0.5567847707583915,VALIDATION,0.5008250825082509,0.6100502512562814,0.8538201089356691,0.5500679655641142,0.7019440372498916,0.786657135012403,0.7793333333333333,0.7793333333333333,2900,605,388,607,True,True,True,True,3.0
R4,CatBoost_A3,compact_screening,CatBoostClassifier,A3,none,0.247743,0.7811007964214797,,VALIDATION,0.503765690376569,0.6050251256281407,0.8552129221732746,0.5497716894977169,0.7024923058354957,0.7876764718372347,0.7808888888888889,0.7808888888888889,2912,593,393,602,True,True,True,True,1.0
R3,hard_negative_best,hard_negative_weighting,XGBoostClassifier,ROUND1+BILL+PAYMENT,none,0.451791,0.7808593609990035,,VALIDATION,0.5046491969568893,0.6,0.8557607739665787,0.5482093663911846,0.7019850701788817,0.7877577405137971,0.7813333333333333,0.7813333333333333,2919,586,398,597,True,True,True,True,2.0
R3,cascade_best,cascade,XGBoost+LogisticRegression,ROUND1+BILL+PAYMENT,none,0.538639,0.7741037570161795,,VALIDATION,0.46980392156862744,0.6020100502512563,0.8407132243684993,0.5277533039647577,0.6842332641666284,0.7715143086347831,0.7617777777777778,0.7617777777777778,2829,676,396,599,True,True,True,True,4.0
R3,segmented_thresholds,OOF_delay_segments,XGBoostClassifier,ROUND1+BILL+PAYMENT,none,segment_specific,0.7816975032079083,,TRAIN_OOF,0.34032328527741373,0.7829145728643216,0.6980405878236529,0.47442143727161995,0.5862310125476364,0.64859590897937,0.6164444444444445,0.6164444444444445,1995,1510,216,779,True,True,False,False,
R4,T0_A3,temporal_OOF,XGBoostClassifier,A3+none,none,0.474497,0.787645614541989,,TRAIN_OOF,0.5066738816738817,0.6047362755651238,0.8563075665650247,0.5513789380704681,0.7038432523177465,0.7888602580242049,0.7823333333333333,0.7823333333333333,13620,2735,1836,2809,True,True,True,True,
R4,T1_PAY_confirmation,temporal_confirmation,XGBoostClassifier,A3+pay_trajectory,none,0.465306,0.7884671143713602,,TRAIN_OOF,0.5012402551381998,0.6090419806243272,0.8539623474504116,0.5499076683837107,0.7019350079170612,0.7867083481997056,0.7794761904761904,0.7794761904761904,13540,2815,1816,2829,True,True,True,True,
